id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
track_0,Song 0,15,122282,1,Artist 0,1998-06-06,0.8580232710072292,0.9489806670470013,3,-3.927585262688396,0,0.6308510386451117,0.9654106993686116,0.5821807361446398,0.19038327106097186,0.12283997885710418,117.56253521848888
track_1,Song 1,96,285696,1,Artist 1,2011-01-28,0.9976282974021565,0.1425565550331156,8,-16.436320436251535,1,0.34958519578439207,0.6838430306453614,0.24881631533822213,0.9409461932706544,0.08464260721225136,154.1797537081478
track_2,Song 2,3,299510,0,Artist 2,1988-09-07,0.24149648525686784,0.38213947483256927,11,-4.9336408503336315,1,0.29267144575942416,0.7920445910489612,0.6612333832618658,0.5211489055050904,0.046496039691304336,169.80000804366563
track_3,Song 3,3,340972,0,Artist 3,1974-01-05,0.04035082685969971,0.5547318032823543,11,-5.499167385419426,1,0.39258775036111127,0.2927415485831599,0.709905045779608,0.9972272046291317,0.11095626103433676,153.36132905687828
track_4,Song 4,39,187534,1,Artist 4,2002-05-11,0.411191517994586,0.07675806188873802,1,-23.725553384505474,0,0.34202266424798167,0.07918640910862584,0.010691990113501415,0.5248167503647412,0.343707092135618,185.9831328799613
track_5,Song 5,16,282777,0,Artist 5,1967-04-13,0.13008066982894695,0.004187443627957865,10,-28.334276079813147,1,0.8322391067084416,0.48782283738188104,0.4392105109318746,0.5439364122902682,0.5938718057830571,99.92226413140943
track_6,Song 6,100,289316,0,Artist 6,2020-12-26,0.022425889162055124,0.6704343337969175,5,-26.553541970184007,0,0.27479781076790055,0.3145815465462273,0.8432620428217643,0.3918430129328524,0.18814692720940895,186.0863424942729
track_7,Song 7,51,194964,1,Artist 7,1980-03-25,0.3604268271414861,0.6418195168014353,6,-1.3001515393651317,0,0.7331530231065854,0.20208316500792367,0.4895875962430474,0.3100404187314143,0.888008846002638,78.32089363207302
track_8,Song 8,92,288509,0,Artist 8,1998-06-19,0.7837382510752364,0.41078880999961176,3,-13.609938495182469,0,0.09405982022858872,0.9526421308008614,0.31137544216332114,0.2515455531329448,0.8083824312394494,152.33424466419729
track_9,Song 9,51,328944,1,Artist 9,2017-02-23,0.5661806912250709,0.48964407603203264,5,-53.62404571245625,0,0.9513963724844156,0.4439882143420303,0.8717977710246627,0.3434206161306739,0.5205271128091636,136.66829119322486
track_10,Song 10,35,325950,0,Artist 10,1978-03-10,0.31277798921035405,0.4154430005920896,6,-13.294295593116004,1,0.6223166372485518,0.17470859204878564,0.1558806975298057,0.45985108090043214,0.7242098308133599,129.2490316581825
track_11,Song 11,37,239006,1,Artist 11,1982-05-10,0.6543420054927197,0.024005044844888856,3,-49.76771706610645,1,0.7067185770445601,0.19865065268113913,0.20644523241620039,0.19199195023079008,0.36632852469875843,103.52768404070497
track_12,Song 12,49,356440,0,Artist 12,1970-09-11,0.23201818030881072,0.3353716062174624,7,-33.15896705966246,1,0.298039332094451,0.280709742464594,0.6873723669361333,0.22487509180569587,0.0367777927330899,130.5225843431528
track_13,Song 13,62,324054,1,Artist 13,1970-02-21,0.014381446072085025,0.17708225539728983,8,-47.37241966940795,0,0.4120965687081146,0.9993162681897128,0.352435941526575,0.27154476866843913,0.9043328475325398,82.64826989385845
track_14,Song 14,100,170583,1,Artist 14,1983-10-07,0.7643533864364274,0.09842418910136874,0,-18.62501606800621,1,0.22377838627097624,0.2680115005195973,0.7130168357337789,0.44925989193083915,0.127793488257822,111.70493218963458
