genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
classical,Artist 0,Track 0,feature_track_0,77,0.7659145445024039,0.3015449214342337,343752,0.43266164809945984,0.36036551853039556,3,0.3322237118123287,-35.88000045891437,1,0.5307232267464566,111.41858548496364,0.9485820360508921
pop,Artist 1,Track 1,feature_track_1,49,0.9489230162659517,0.3620655098231349,146809,0.7154600357876043,0.4269101182540047,5,0.17689763223059507,-43.72149710185455,0,0.7907421965879639,86.9453502064774,0.949533922554903
rock,Artist 2,Track 2,feature_track_2,1,0.40557281577477944,0.9339956386286912,283221,0.7600539862608048,0.7254145426079628,8,0.8956997457016794,-57.61244636752169,1,0.08153532543749786,91.48749499655918,0.16148944500095852
electronic,Artist 3,Track 3,feature_track_3,0,0.521979799825197,0.966555398819614,308303,0.8369002019987979,0.9100947391772835,1,0.7076567650526958,-47.98939175218326,1,0.9970184300912042,129.64852974573682,0.003897663230188475
pop,Artist 4,Track 4,feature_track_4,9,0.03215147566904453,0.6960364691893778,208698,0.36632117517834817,0.20325834894564787,11,0.7830543224952482,-22.99781864086244,1,0.8265406169998983,168.2948962922385,0.5816516212023484
jazz,Artist 5,Track 5,feature_track_5,12,0.14858190414512806,0.8148066259754263,330565,0.49117179003706235,0.9305546233016865,7,0.8701528060299393,-9.93683404167632,1,0.2725872107284666,121.57876002618968,0.777173872643889
rock,Artist 6,Track 6,feature_track_6,64,0.5785173906080096,0.3354722015969055,220692,0.35141416321583896,0.6891594946486166,2,0.48462390720705795,-55.19192196484856,1,0.0919449732924773,119.10515971002931,0.863165832512366
hip-hop,Artist 7,Track 7,feature_track_7,89,0.030899555127822165,0.7249107350874092,235372,0.21034954731773192,0.25774728193742313,7,0.7944566555701994,-27.428385057873022,1,0.48028762587472174,101.16269756574847,0.2811058585235703
r&b,Artist 8,Track 8,feature_track_8,3,0.03639853638918311,0.7078138281679737,338575,0.04733938246646807,0.6023424863623337,4,0.9075892419640834,-6.836889936796659,1,0.3321668765572309,142.7291621661616,0.8756555394176788
pop,Artist 9,Track 9,feature_track_9,22,0.19915634152186434,0.4346840631222699,214853,0.9819418072958938,0.0563097635843135,4,0.5559353353259755,-35.94270109508743,0,0.9465661854948874,193.2830854255022,0.7614260735658059
jazz,Artist 10,Track 10,feature_track_10,100,0.42476561470305985,0.7269873999861695,147781,0.31796155387864,0.442082988095035,3,0.5706459049325495,-20.787078455965123,0,0.63028045051064,197.6047477348502,0.7875071126681534
hip-hop,Artist 11,Track 11,feature_track_11,10,0.15111742079408352,0.763463297516966,270671,0.9091428432048078,0.6452332198987898,7,0.0771133945244098,-9.059382973481114,0,0.9206335938997929,125.31268372224099,0.9753067736209979
metal,Artist 12,Track 12,feature_track_12,60,0.537634189766351,0.33167148343179276,243933,0.42059327167780514,0.950442874643125,1,0.931894282706713,-45.78989643083358,1,0.5916264469438367,147.23616829398088,0.8017676544818632
rock,Artist 13,Track 13,feature_track_13,75,0.04526846565530196,0.5543855109312624,294795,0.5191512286058955,0.3809362065762789,10,0.6766437850230265,-31.781896704491597,0,0.08906806413410928,72.55636377263245,0.8838808075221304
hip-hop,Artist 14,Track 14,feature_track_14,3,0.34824891798525304,0.35699538061391134,334233,0.14988341331005517,0.7841779619975782,2,0.174462985738444,-41.81683816751293,1,0.9283799339207354,142.31838938731534,0.02276161716907532
hip-hop,Artist 15,Track 15,feature_track_15,63,0.3498193106624281,0.5964474346092902,337186,0.014363937038816554,0.1583360134206393,0,0.7001410402176219,-14.075362181159932,1,0.13415986727731133,186.79439917546642,0.7544841807412944
jazz,Artist 16,Track 16,feature_track_16,18,0.3102770250929734,0.6868404450407257,213181,0.5035332833297852,0.9749145804584373,6,0.5667221527784435,-10.08401213579971,0,0.5718578281996315,171.35730839823992,0.09891527725061022
electronic,Artist 17,Track 17,feature_track_17,76,0.2888836786639689,0.10707657421995997,193756,0.6012063682082492,0.10155063721291602,5,0.7405000099030429,-27.10652741136429,0,0.043246459462740416,180.48387871165053,0.7037099513730805
classical,Artist 18,Track 18,feature_track_18,92,0.4737347854794325,0.0662376685692243,291090,0.09914414563681984,0.6594970226165943,11,0.1657819069999411,-51.21968636464136,1,0.6009522352605767,69.25885109709691,0.555257381185141
classical,Artist 19,Track 19,feature_track_19,80,0.13998653993924648,0.6865917921499083,330331,0.0901003614049819,0.8248458631952956,6,0.9692149171423234,-18.402174427170614,1,0.25298889014544035,158.79327737345233,0.22603657921397724
pop,Artist 20,Track 20,feature_track_20,65,0.5722566555476735,0.7342090418282045,124595,0.7993829747383726,0.6575477627158645,5,0.857469490047324,-13.982508882716282,0,0.23046238131792063,175.18531457527456,0.5819729203749198
electronic,Artist 21,Track 21,feature_track_21,53,0.6577313599941901,0.05314629595044773,241148,0.4111583615432086,0.17253487247721122,6,0.834291293727868,-4.003046832134977,1,0.30055847441810957,67.73879296843145,0.8179390042707602
indie,Artist 22,Track 22,feature_track_22,42,0.6086892314494715,0.013615412147036987,321307,0.14441937692603957,0.9125275063627133,8,0.0007746161989664602,-52.85356556288069,1,0.682916142716208,193.88304714651582,0.6444772335636358
pop,Artist 23,Track 23,feature_track_23,14,0.3614002535655104,0.3904227014053031,144981,0.9649090010404158,0.31071965742007457,2,0.14671939056647954,-56.19487425241729,0,0.6535951571716637,162.8847398433682,0.8261023115840026
pop,Artist 24,Track 24,feature_track_24,10,0.4237770354962035,0.7883488947772149,193256,0.15147020642421838,0.46295310782568866,6,0.09192210127263722,-16.146403755827322,1,0.687301438789294,87.07898109714866,0.7326022177564351
metal,Artist 25,Track 25,feature_track_25,3,0.9397299733465947,0.8298261527581446,222561,0.42489570730958515,0.9399288235810541,1,0.3084910549224408,-44.43409932286849,0,0.4519711205489827,121.77556385474271,0.6555755053777197
hip-hop,Artist 26,Track 26,feature_track_26,55,0.6574250502030121,0.94267963755552,300219,0.3762812434429116,0.8380021061943637,5,0.42960486238058093,-36.18227142540792,1,0.6382205177385526,150.31994048839613,0.10394402954111592
pop,Artist 27,Track 27,feature_track_27,52,0.39136486005345517,0.6594267979336477,300510,0.7815834645308241,0.8981720619861483,1,0.6143231708220473,-26.703293245770176,1,0.7327861957930354,184.42330959809766,0.18016216152200026
classical,Artist 28,Track 28,feature_track_28,37,0.3752060456514993,0.8568528793552317,240185,0.2366336084531473,0.9428674510949621,3,0.6679181666532192,-55.75393172601593,0,0.2745824099627462,192.210250044277,0.8917524544437423
classical,Artist 29,Track 29,feature_track_29,67,0.13647920035930372,0.8204485442343297,129282,0.22813588895118042,0.3211548940480735,7,0.4000377867959568,-17.05304819403122,1,0.5322728745957114,101.24485207303651,0.09856022557385347
indie,Artist 30,Track 30,feature_track_30,79,0.860176578251387,0.35772774788420725,186188,0.29287084821940934,0.5216304482896335,3,0.2347350622848594,-7.310293436740544,1,0.5466790060020982,169.37288359138768,0.46374426302477656
metal,Artist 31,Track 31,feature_track_31,23,0.9026152761493903,0.9505010008950474,137974,0.8681682175387098,0.07838812064400036,1,0.7210247012435109,-20.957869894111866,1,0.7458769279422485,161.56733680713612,0.4482966209224013
r&b,Artist 32,Track 32,feature_track_32,54,0.5449010017070826,0.880858176918956,204168,0.3533773767782482,0.7160058918981543,10,0.33661534246663627,-23.303998466356603,0,0.1508686363851668,123.46068770962094,0.11919245733333905
classical,Artist 33,Track 33,feature_track_33,22,0.7364997519695221,0.4545303245219451,139559,0.5360178514833289,0.8665748749814745,10,0.444252903870928,-29.012219825148406,0,0.7357891846323492,165.67576026298002,0.7224333634311652
indie,Artist 34,Track 34,feature_track_34,2,0.800841342572096,0.21176314193344914,195549,0.7372731912292523,0.6102047819378882,4,0.9771901316456858,-48.856350484518394,0,0.06297194097448089,108.29305191606991,0.4735682670570611
electronic,Artist 35,Track 35,feature_track_35,15,0.9142614133065804,0.33875969731160027,199885,0.3568565633113594,0.3355640932108478,5,0.37248622874359705,-41.79087376948274,0,0.051487134508293675,191.86442369840958,0.9536912486439493
